,month,price
0,2020-01-01,4.092454118884986
1,2020-02-01,3.6931255891290466
2,2020-03-01,3.4695771745695283
3,2020-04-01,3.36776177921424
4,2020-05-01,3.2261519681415787
5,2020-06-01,2.9418640964549723
6,2020-07-01,2.9133417376958164
7,2020-08-01,3.1737368557889494
8,2020-09-01,3.2192222215723176
9,2020-10-01,3.842715622946541
10,2020-11-01,4.18868218375084
11,2020-12-01,4.380855010252435
12,2021-01-01,4.179212240324698
13,2021-02-01,4.052459334261066
14,2021-03-01,3.637872191439788
15,2021-04-01,3.6751658231246185
16,2021-05-01,3.4602124947056647
17,2021-06-01,3.203197458283452
18,2021-07-01,3.1448818155594416
19,2021-08-01,3.434162100375833
20,2021-09-01,3.517420840271902
21,2021-10-01,3.9590366136782653
22,2021-11-01,4.391912825798223
23,2021-12-01,4.72824385469807
24,2022-01-01,4.475555428726847
25,2022-02-01,4.257716539429499
26,2022-03-01,3.8045308990835003
27,2022-04-01,3.98080122313539
28,2022-05-01,3.6912722366719253
29,2022-06-01,3.462052539592724
30,2022-07-01,3.3742826833113515
31,2022-08-01,3.692841116039838
32,2022-09-01,3.812128196187819
33,2022-10-01,4.073473362039614
34,2022-11-01,4.597278853246615
35,2022-12-01,5.043864543419037
36,2023-01-01,4.703775914112426
37,2023-02-01,4.3617478918128105
38,2023-03-01,3.843757882585317
39,2023-04-01,4.125545071163497
40,2023-05-01,3.727942165667577
41,2023-06-01,3.493489514470415
42,2023-07-01,3.3441616104046075
43,2023-08-01,3.6587858944346974
44,2023-09-01,3.7787699332567124
45,2023-10-01,3.8291258975850315
46,2023-11-01,4.414384777125936
47,2023-12-01,5.00121321814658
48,2024-01-01,4.603631240626639
49,2024-02-01,4.170715796425213
50,2024-03-01,3.9157473651410455
51,2024-04-01,3.780345055353784
52,2024-05-01,3.606231778666915
53,2024-06-01,3.2883569924997076
54,2024-07-01,3.2273311681143815
55,2024-08-01,3.4541393717267788
56,2024-09-01,3.466039037822834
57,2024-10-01,4.057030149179992
58,2024-11-01,4.369473182453369
59,2024-12-01,4.529240958872984
